title,price,rating,reviews,availability
"Mastering API Architecture: Design, Operate, and Evolve API-Based Systems","42,11 €","3,5 von 5 Sternen",2 Sternebewertungen,Auf Lager
Building Evolutionary Architectures (English Edition),,"4,4 von 5 Sternen",4 Sternebewertungen,Not Available
Cloud Native Go: Building Reliable Services in Unreliable Environments,"44,36 €","4,5 von 5 Sternen",86 Sternebewertungen,Auf Lager
Software Architecture: The Hard Parts (English Edition),,"4,6 von 5 Sternen",267 Sternebewertungen,Not Available
Git – kurz & gut,,"4,0 von 5 Sternen",27 Sternebewertungen,Auf Lager
Statistics in a Nutshell: A Desktop Quick Reference (In a Nutshell (O'Reilly)) (English Edition),,"4,7 von 5 Sternen",124 Sternebewertungen,Not Available
Python für Excel: Eine moderne Umgebung für Automatisierung und Datenanalyse (Animals),,"4,6 von 5 Sternen",10 Sternebewertungen,Auf Lager
Learning Domain-Driven Design: Aligning Software Architecture and Business Strategy,"40,99 €","4,7 von 5 Sternen",152 Sternebewertungen,Auf Lager
"Lead and Disrupt: How to Solve the Innovator's Dilemma, Second Edition (English Edition)",,"4,5 von 5 Sternen",31 Sternebewertungen,Not Available
Projektmanagement kurz & gut,"14,90 €","5,0 von 5 Sternen",4 Sternebewertungen,Nur noch 15 auf Lager (mehr ist unterwegs)
Think Bayes: Bayesian Statistics in Python (O'reilly),"37,42 €","4,6 von 5 Sternen",57 Sternebewertungen,Auf Lager
Scrum – kurz & gut,,"4,5 von 5 Sternen",78 Sternebewertungen,Auf Lager
"JavaScript from Beginner to Professional: Learn JavaScript quickly by building fun, interactive, and dynamic web apps, games, and pages","29,94 €","4,7 von 5 Sternen",160 Sternebewertungen,Auf Lager
Essential Math for AI (English Edition),,Previous page,,Not Available
Praktische Statistik für Data Scientists: 50+ essenzielle Konzepte mit R und Python (Animals),,"4,5 von 5 Sternen",34 Sternebewertungen,Auf Lager
Kanban – kurz & gut,"14,90 €",Previous page,,Dieser Artikel erscheint am 31. Mai 2023.
The Rules of Programming (English Edition),,Previous page,,Not Available
